participant,gender,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating
6HARB,Male,jmi,0,delta,0.9247362015902754,4.177823730223781,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,1,delta,0.8202857122959735,4.254375729837533,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,2,delta,0.6525470050419813,4.171928054712234,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,3,delta,0.5428086767523013,3.9490530529342722,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,4,delta,0.526750801270091,3.701190474879975,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,5,delta,0.4983976114979414,3.607847371433609,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,6,delta,0.33023788413108646,3.7451781402146027,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,7,delta,0.0517129784655479,3.9645097455393774,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,8,delta,-0.189606346116713,4.115293175974648,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,9,delta,-0.27204078201800685,4.149897384995821,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,10,delta,-0.2025223898424624,4.030311941236644,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,11,delta,-0.10528292869879818,3.8363960535595893,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,12,delta,-0.11807038560270611,3.7824838848620965,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,13,delta,-0.213004038261412,3.902241998149268,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,14,delta,-0.21434140996897177,4.015843758222218,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,15,delta,-0.09076743110892593,4.0021962233576645,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,16,delta,0.014099280994837038,3.9136053540777613,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,17,delta,-0.026911841049181096,3.901983036454565,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,18,delta,-0.20963716000162602,3.977246096999142,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,19,delta,-0.3712732329978454,4.020330214049447,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,20,delta,-0.34470565884658866,3.954091258580614,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,21,delta,-0.15037262037961074,3.843619820717767,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,22,delta,0.06277666004667726,3.834442208358751,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,23,delta,0.1768937740088008,3.892893644863766,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,24,delta,0.18891640088531192,3.857263775634837,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,25,delta,0.1821782836354786,3.737064723070043,1.4125,9.68125,1.5812499999999998
6HARB,Male,jmi,26,delta,0.18136297203976381,3.577388751325887,1.4125,9.68125,1.5812499999999998
